p,ARI_mean,ARI_std,Precision_mean,Precision_std,Recall_mean,Recall_std
1,0.052195589276938674,0.11569706978079594,0.8448275862068967,1.1102230246251565e-16,0.6968965517241381,0.02738938405835942
2,-0.015860067508327018,0.20576888344273064,0.8462068965517243,0.006757213083539791,0.8413793103448284,0.02693189543416089
3,0.17154690014469304,0.34122169441265743,0.8637931034482759,0.035544014013945344,0.829310344827586,0.07727908562418954
4,0.26415992827535184,0.28611392003397224,0.8593103448275863,0.030524546174249278,0.7996551724137931,0.08108142440822429
5,0.07870968331393369,0.15714314609740684,0.8462068965517243,0.009655172413793088,0.6803448275862068,0.07445481595908081
6,0.09638313437896205,0.1723119016325452,0.8451724137931036,0.0024137931034482647,0.6813793103448273,0.08518288362286627
7,0.19839901931924217,0.23427189620643674,0.8555172413793105,0.028412202834640726,0.7299999999999999,0.09908079312955627
8,0.17631458579502193,0.20293959159063377,0.8510344827586206,0.0178379546984518,0.7113793103448275,0.10314956874127056
9,0.09165343119358912,0.1608438065970987,0.8472413793103448,0.012437716411635468,0.669655172413793,0.07986016315991758
10,0.3163668843865348,0.30544404128172786,0.872758620689655,0.04121951905937676,0.7696551724137928,0.1346930274839581
11,0.35020618929231995,0.28454963504486497,0.8751724137931036,0.03674639118553713,0.7896551724137931,0.1275862068965517
12,0.5271505747584483,0.2736404129458157,0.9020689655172416,0.04408401879861208,0.860344827586207,0.11437936752153093
13,0.5358792059193506,0.26161418511504797,0.9010344827586203,0.04598117797213454,0.8631034482758618,0.10802573789408901
14,0.4098758053864935,0.23819909955733293,0.8734482758620689,0.03739591182422589,0.8179310344827587,0.10762598734046856
15,0.3757384311011945,0.23497620015068796,0.8675862068965519,0.03752763547700078,0.8072413793103449,0.09739105624188307
16,0.3353580079947501,0.2397363202840205,0.8665517241379309,0.033928300983249754,0.7837931034482757,0.11003242414785086
17,0.3310839869629757,0.21407021673624338,0.8613793103448276,0.025795316150710384,0.7813793103448277,0.11004485087149408
18,0.23018463708736475,0.1851358945281514,0.8503448275862071,0.014807524519713018,0.7337931034482759,0.10351492106108662
19,0.19376444726332204,0.16641478479823224,0.847241379310345,0.00912979468611981,0.7113793103448275,0.10616042422588211
20,0.19624417883243414,0.17068540104104965,0.8479310344827589,0.01073405683880922,0.7168965517241378,0.10177322018687285
21,0.1788793355151766,0.1586788440294958,0.8465517241379312,0.007900992577510061,0.7024137931034481,0.10309191493560095
22,0.16703624791443705,0.16095758893417722,0.8465517241379312,0.006216467716317207,0.7020689655172413,0.09649259273044249
23,0.18571923045201177,0.16271870448365108,0.846896551724138,0.006578891044254781,0.7168965517241381,0.09550479191867417
24,0.13748629605991125,0.15344841589219635,0.8458620689655174,0.004094600719668229,0.6868965517241379,0.09306257084750413
25,0.12071045551748734,0.1422117221403242,0.8451724137931036,0.0024137931034482665,0.6817241379310345,0.08853477654989363
26,0.09529074306849926,0.13217916100910007,0.8451724137931036,0.0024137931034482673,0.6737931034482756,0.08071028324594642
27,0.1098684240188703,0.14228837872014852,0.8448275862068967,1.2947314098277876e-16,0.6910344827586208,0.08310559447793818
28,0.0837022760266811,0.12745878971976776,0.8448275862068967,1.3687748718835772e-16,0.6758620689655173,0.08196458154486007
29,0.07904858144663728,0.11982332086185075,0.8448275862068967,1.2262814116578436e-16,0.6813793103448273,0.07341184137604206
30,0.08786037384527969,0.12831305445011362,0.8448275862068967,1.32298342146042e-16,0.6920689655172414,0.07679752398902083
31,0.08901167575272739,0.13032416523418172,0.8448275862068967,1.4644847510539758e-16,0.6979310344827586,0.0772783162914838
32,0.08338424395485351,0.1274874252330167,0.8448275862068967,1.3955287025942437e-16,0.7127586206896549,0.07376489954091048
33,0.08884537545052754,0.1405582061595827,0.8451724137931036,0.002413793103448283,0.7217241379310346,0.06739681415956174
34,0.09542151026652221,0.14985758273435684,0.8458620689655173,0.004094600719668234,0.7182758620689655,0.07543847253968025
35,0.10182782212341358,0.13976422572453254,0.8451724137931036,0.0024137931034482673,0.720344827586207,0.07681919721425166
36,0.0978786843839872,0.14263243824103272,0.8458620689655174,0.007241379310344825,0.7479310344827583,0.06955694678902445
37,0.11469534854496326,0.12201447235525077,0.8448275862068967,1.4217791915866693e-16,0.6989655172413792,0.09432216404537243
38,0.10646380925296006,0.12001231024281263,0.8448275862068967,1.2658490090568387e-16,0.7186206896551721,0.08300537925063779
39,0.13289743518591046,0.15050283891741156,0.8458620689655174,0.007241379310344827,0.6748275862068968,0.11347971475082518
40,0.1454865234688353,0.18123440245453767,0.8500000000000001,0.018000528463638872,0.6786206896551726,0.11687366269654015
41,0.17170562103767747,0.18345340454659348,0.8500000000000001,0.02076136996343499,0.7100000000000002,0.10320027744711022
42,0.20888472349473022,0.2303001112100918,0.8565517241379312,0.02702885233415917,0.7320689655172413,0.1161823365021597
43,0.2466825693829193,0.2756623566723223,0.8662068965517241,0.038945676975159986,0.7789655172413791,0.12262924216712243
44,0.36867252720060395,0.3051728573222966,0.8841379310344828,0.04665250903527655,0.8610344827586205,0.11802023244994324
45,0.046924283451973164,0.1761865805184069,0.8493103448275864,0.017854611677240846,0.8051724137931032,0.1351112634376901
46,0.022277771143942596,0.09202114125512471,0.8448275862068967,1.4390135079995447e-16,0.7810344827586208,0.10551104331582234
47,0.02429359822987002,0.08390294256187521,0.8448275862068967,1.4304223057953898e-16,0.6917241379310345,0.11413949368656304
48,0.05042504662451017,0.08554470433405928,0.8448275862068967,1.3955287025942437e-16,0.673793103448276,0.09315707267969354
49,0.01039879026377356,0.06625824574422567,0.8448275862068967,1.32298342146042e-16,0.6720689655172416,0.07660218902005016
50,0.016470284994765584,0.07246622568674921,0.8448275862068967,1.2947314098277876e-16,0.677586206896552,0.0837050765099197
51,0.013372767925838726,0.06812236423662187,0.8448275862068967,1.4217791915866693e-16,0.6920689655172412,0.08791480580463719
52,0.024920493620547476,0.08537227995916047,0.8448275862068967,1.3136335981433191e-16,0.6924137931034483,0.07812913484896224
53,0.04088129783967933,0.09877690416033054,0.8448275862068967,1.285176065878327e-16,0.6927586206896551,0.08040400366271601
54,0.05784632931217706,0.13565557386017268,0.8448275862068967,1.2947314098277876e-16,0.7724137931034483,0.10628300005118924
55,0.04697136700819234,0.12337812535248517,0.8448275862068967,1.3955287025942437e-16,0.8599999999999994,0.10558933755128128
56,0.05279452126686927,0.14278555735726545,0.8448275862068967,1.1212702919885052e-16,0.8537931034482754,0.08927239241536222
57,-0.016378535806952546,0.07783033746604565,0.8448275862068967,1.1102230246251565e-16,0.9137931034482755,0.07931034482758618
58,-0.009778750324921941,0.07643749198686652,0.8448275862068967,1.3955287025942437e-16,0.8993103448275862,0.11811842341506024
59,-0.012904893766939636,0.07758984929224065,0.8455172413793105,0.004827586206896542,0.8841379310344827,0.12509401933824565
60,-0.03266444910862453,0.07729882321151987,0.8448275862068967,1.4390135079995447e-16,0.8568965517241379,0.1142753626193485
61,-0.010078361947610024,0.13165947205659176,0.8462068965517243,0.007586206896551728,0.839310344827586,0.11449314452266247
